st_name,pc_name,pc_code,pc91_state_id,pc91_district_id,state_clean,district_clean,pc_weight_relative,dist_weight_relative,pc_weight_absolute
AS,Autonomous District,S0303,18,1,nagaland,kohima,0.05642663473409079,0.23438325937738272,0.05642674065869943
AS,Autonomous District,S0303,15,2,manipur,tamenglong,0.03814258017931899,0.14228714264355924,0.03814265178092871
AS,Autonomous District,S0303,4,14,assam,golaghat,0.03207674914929148,0.1440267444171027,0.03207680936406622
AS,Autonomous District,S0303,4,23,assam,cachar,0.020276206904115714,0.08513935628004715,0.020276244966801735
AS,Autonomous District,S0303,4,13,assam,nagaon,0.019642787671545994,0.07061890417665401,0.01964282454517148
AS,Autonomous District,S0303,16,1,meghalaya,jaintia hills,0.01534210178207017,0.06266475485813865,0.015342130582407717
AS,Barpeta,S0306,4,5,assam,barpeta,0.5367193262739387,0.5808404550107654,0.536719326273939
AS,Barpeta,S0306,4,3,assam,bongaigaon,0.21300647096978323,0.3892475458157315,0.21300647096978337
AS,Barpeta,S0306,4,6,assam,nalbari,0.15652563179282872,0.2782948483189296,0.15652563179282883
AS,Barpeta,S0306,4,4,assam,goalpara,0.050024542361804036,0.1087835526629735,0.05002454236180407
AS,Barpeta,S0306,4,7,assam,kamrup,0.043724028601645315,0.03599301548357138,0.04372402860164534
AS,Dhubri,S0304,4,2,assam,dhubri,0.5228290358356205,0.379122089786009,0.5219141782566811
AS,Dhubri,S0304,4,4,assam,goalpara,0.30026461888572303,0.7505142914741973,0.29973920934752496
AS,Dhubri,S0304,16,5,meghalaya,west garo hills,0.11698845379762358,0.0858927738603437,0.11678374486550758
AS,Dhubri,S0304,4,3,assam,bongaigaon,0.034506743737072056,0.07247892719805016,0.03444636308896608
AS,Dhubri,S0304,16,4,meghalaya,east garo hills,0.02035978889590448,0.034466686164900104,0.02032416289600711
AS,Dhubri,S0304,4,5,assam,barpeta,0.0050513588480564,0.006283368595668183,0.005042519870858624
AS,Dibrugarh,S0313,4,17,assam,dibrugarh,0.49565321569410914,0.7352012495947734,0.49565335302183905
AS,Dibrugarh,S0313,4,18,assam,tinsukia,0.2730936433818418,0.3786281785524048,0.2730937190462961
AS,Dibrugarh,S0313,4,16,assam,sivasagar,0.12948198466860883,0.2503208082617517,0.12948202054342303
AS,Dibrugarh,S0313,3,10,arunachal pradesh,changlang,0.06627019716545864,0.07241709975973665,0.06627021552655354
AS,Dibrugarh,S0313,3,11,arunachal pradesh,tirap,0.035500959089981604,0.09445559969651383,0.035500968926024154
AS,Gauhati,S0307,4,7,assam,kamrup,0.6294742068219359,0.6619142478467267,0.6280041441852745
AS,Gauhati,S0307,16,2,meghalaya,east khasi hills,0.16426519385472257,0.15436268538675224,0.16388157190266686
AS,Gauhati,S0307,16,3,meghalaya,west khasi hills,0.05935917805493291,0.0537379905022256,0.05922055170796622
AS,Gauhati,S0307,4,4,assam,goalpara,0.05065180327614968,0.14070215586282905,0.05053351197418876
AS,Gauhati,S0307,16,4,meghalaya,east garo hills,0.0454548089377911,0.08551792022747928,0.04534865460207433
AS,Gauhati,S0307,4,6,assam,nalbari,0.04085272366375103,0.09278257996138535,0.04075731695444813
AS,Gauhati,S0307,4,8,assam,darrang,0.009942085390716726,0.015982856630115064,0.009918866824959792
AS,Jorhat,S0312,4,16,assam,sivasagar,0.46028861401621873,0.6716873681981776,0.45968159126070446
AS,Jorhat,S0312,4,15,assam,jorhat,0.2191957636766342,0.32097099670056817,0.2189066910982294
AS,Jorhat,S0312,18,5,nagaland,mokokchung,0.1045630661916105,0.2823132176303907,0.1044251697530894
AS,Jorhat,S0312,18,7,nagaland,mon,0.09267270765604478,0.18093878711103065,0.09255049207075908
AS,Jorhat,S0312,18,4,nagaland,wokha,0.052875110519505546,0.132882630576181,0.05280537949790669
AS,Jorhat,S0312,3,11,arunachal pradesh,tirap,0.038333453188332,0.07698655942873775,0.0382828995190163
AS,Jorhat,S0312,18,6,nagaland,tuensang,0.032071284751654223,0.032023412008154555,0.03202898955023056
AS,Kaliabor,S0311,4,14,assam,golaghat,0.3950220668557623,0.5831037719439826,0.3941315243808544
AS,Kaliabor,S0311,4,19,assam,karbi anglong,0.20060379896855193,0.09906935234984804,0.20015155536345072
AS,Kaliabor,S0311,4,13,assam,nagaon,0.1868105303804885,0.22079584834072,0.18638938248516182
AS,Kaliabor,S0311,4,15,assam,jorhat,0.10144746634940058,0.18581379290404584,0.10121876196719977
AS,Kaliabor,S0311,18,4,nagaland,wokha,0.06521411748257082,0.20500368103366548,0.06506709799567448
AS,Kaliabor,S0311,18,1,nagaland,kohima,0.05090201996322585,0.06951029857888086,0.050787265840255766
AS,Karimganj,S0301,4,22,assam,hailakandi,0.36272170967129613,0.9764101654793123,0.36272136608824385
